Date,Open,High,Low,Close,Volume,Market Cap,Positive Tweets,Negative Tweets
41751,495.45,503.22,487.58,487.92,11670900,6280640000,46,13
41752,488.36,493.25,485.82,491.3,9814530,6192560000,27,11
41753,490.82,500.46,482.95,500.46,13009400,6225860000,31,8
41754,500.09,500.3,442.95,461.45,46856500,6345230000,32,16
41755,461.7,464.54,449.1,458.6,12214600,5860330000,31,19
41756,457.24,459.33,436.39,436.39,10949500,5805530000,26,20
41757,430.72,447.53,422.94,440.29,23876600,5470650000,37,13
41758,439.98,451.64,435.18,447.21,16401400,5590030000,26,17
41759,446.89,451.1,436.7,447.64,15244900,5679680000,34,17
41760,447.63,460.61,447.63,457.76,12871800,5690670000,21,16
41761,457.36,457.93,443.4,449.38,10394200,5816390000,29,8
41762,449.4,449.4,430.68,437.76,9849640,5716960000,26,16
41763,438.52,439.77,430.05,436.4,5621260,5580030000,26,18
41764,434.78,440.97,427.62,433.48,10004800,5534140000,31,14
41765,433.36,448.04,423.25,428.96,12507300,5517460000,25,16
41766,429.34,446.13,428.45,438.82,18332200,5468310000,21,16
41767,438.68,448.4,438.14,440.17,9446580,5588990000,23,15
41768,440.18,452.69,440.14,449.46,10347900,5609930000,26,10
41769,450.46,455.77,448.47,454.43,6682600,5742830000,30,15
41770,453.92,455.34,433.4,438.89,12251700,5789010000,31,15
41771,438.3,442.26,434.23,441.46,7383770,5591520000,24,11
41772,441.53,441.98,436.97,440.67,7682670,5634510000,28,14
41773,440.59,446.66,440.5,443.97,9472960,5624310000,29,12
41774,444.14,449.8,443.63,447.25,7362980,5671210000,31,12
41775,447.39,450.66,444.96,448.06,6475100,5714640000,27,15
41776,448.12,451.98,447.3,448.9,2945790,5725990000,26,11
41777,448.7,449.77,444.78,446.26,2857830,5735400000,31,14
41778,446.08,447.56,443.1,446.18,6242620,5703760000,25,15
41779,446.31,491.44,446.01,485.72,40327500,5708560000,29,13
41780,485.8,494.37,483.49,491.77,14626000,6215880000,33,11
41781,492.05,525.36,490.19,524.58,33086500,6297990000,30,9
41782,525.72,541.96,520.08,520.22,34934700,6731160000,30,11
41783,521.05,525.17,516.28,525.14,11499300,6673600000,30,10
